Unnamed: 0,tourney_name,surface,tourney_level,tourney_date,player_age,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,minutes,player_rank,player_rank_points,opp_rank,opp_rank_points,index2,player_won,consecutive
514,Rotterdam,Hard,A,20180212,17.5140314853,Filip Krajinovic,R,185.0,SRB,25.9603011636,6-2 3-6 7-5,3,R32,135.0,168.0,327.0,38.0,1283.0,77674,0,0
582,Marseille,Hard,A,20180219,17.5331964408,Thomas Fabbiano,R,,ITA,28.7364818617,6-3 6-4,3,R32,79.0,167.0,327.0,81.0,676.0,77741,0,0
731,Indian Wells Masters,Hard,M,20180305,17.5715263518,Vasek Pospisil,R,193.0,CAN,27.6988364134,6-2 7-6(4),3,R128,99.0,169.0,327.0,75.0,708.0,77890,1,0
763,Indian Wells Masters,Hard,M,20180305,17.5715263518,Milos Raonic,R,196.0,CAN,27.1868583162,6-4 6-4,3,R64,78.0,169.0,327.0,38.0,1270.0,77922,0,0
1053,Monte Carlo Masters,Clay,M,20180416,17.6865160849,Mischa Zverev,L,190.0,GER,30.6502395619,6-2 6-7(4) 6-1,3,R64,156.0,175.0,317.0,55.0,932.0,78210,0,0
1902,Umag,Clay,A,20180716,17.9356605065,Andrej Martin,R,180.0,SVK,28.8186173854,6-4 6-3,3,R32,97.0,144.0,401.0,157.0,357.0,79057,1,0
1911,Umag,Clay,A,20180716,17.9356605065,Andrey Rublev,R,188.0,RUS,20.7364818617,6-4 6-7(4) 6-3,3,R16,150.0,144.0,401.0,35.0,1211.0,79066,0,0
1952,Gstaad,Clay,A,20180723,17.954825462,Guido Andreozzi,R,,ARG,26.9650924025,6-3 7-6(3),3,R32,91.0,139.0,421.0,118.0,490.0,79107,1,0
1963,Gstaad,Clay,A,20180723,17.954825462,Viktor Galovic,R,,ITA,27.8412046543,3-6 6-4 6-2,3,R16,121.0,139.0,421.0,267.0,199.0,79118,0,0
2108,Canada Masters,Hard,M,20180806,17.993155373,Lucas Pouille,R,185.0,FRA,24.4490075291,6-4 6-3,3,R64,77.0,133.0,441.0,18.0,1870.0,79261,1,0
2132,Canada Masters,Hard,M,20180806,17.993155373,Daniil Medvedev,R,198.0,RUS,22.4832306639,3-6 6-4 7-6(7),3,R32,156.0,133.0,441.0,68.0,822.0,79285,0,0
2276,US Open,Hard,G,20180827,18.0506502396,Denis Shapovalov,L,185.0,CAN,19.3675564682,7-5 5-7 4-1 RET,5,R128,149.0,117.0,480.0,28.0,1385.0,79428,0,0
2494,Chengdu,Hard,A,20180924,18.1273100616,Yibing Wu,R,,CHN,18.945927447,6-3 6-7(2) 6-1,3,R32,144.0,147.0,402.0,423.0,91.0,79646,1,0
2506,Chengdu,Hard,A,20180924,18.1273100616,Hyeon Chung,R,,KOR,22.3490759754,7-6(2) 5-7 6-4,3,R16,156.0,147.0,402.0,23.0,1630.0,79658,1,1
2514,Chengdu,Hard,A,20180924,18.1273100616,Bernard Tomic,R,193.0,AUS,25.9247091034,6-2 6-4,3,QF,67.0,147.0,402.0,123.0,453.0,79666,0,0
2786,Vienna,Hard,A,20181022,18.2039698836,Marton Fucsovics,R,188.0,HUN,26.7022587269,1-6 6-0 7-5,3,R32,126.0,109.0,534.0,40.0,1117.0,79924,0,0
83,Pune,Hard,A,20181231,18.3956194387,Ivo Karlovic,R,208.0,CRO,39.8384668036,6-4 7-5,3,R32,74.0,108.0,527.0,100.0,589.0,80106,0,0
370,Buenos Aires,Clay,A,20190211,18.5106091718,Cristian Garin,R,185.0,CHI,22.7022587269,3-6 7-5 6-3,3,R32,139.0,103.0,540.0,93.0,610.0,80391,0,0
490,Rio de Janeiro,Clay,A,20190218,18.5297741273,Laslo Djere,R,188.0,SRB,23.7152635181,6-3 7-5,3,F,120.0,104.0,540.0,90.0,627.0,80511,0,0
492,Rio de Janeiro,Clay,A,20190218,18.5297741273,Pablo Cuevas,R,180.0,URU,33.1307323751,6-3 3-6 6-3,3,SF,125.0,104.0,540.0,63.0,751.0,80512,1,0
496,Rio de Janeiro,Clay,A,20190218,18.5297741273,Jaume Munar,R,183.0,ESP,21.7905544148,6-4 6-3,3,QF,98.0,104.0,540.0,66.0,746.0,80516,1,1
504,Rio de Janeiro,Clay,A,20190218,18.5297741273,Cristian Garin,R,185.0,CHI,22.7214236824,7-5 6-4,3,R16,106.0,104.0,540.0,91.0,623.0,80524,1,2
